"""Jollibee"""               ,93  ,34.8
"""Mercury Drug"""           ,85.8,35
"""McDonald's"""             ,93  ,49.1
"""Marcella"""               ,89.2,49.1
"""World Balance"""          ,84.8,49.1
"""People Are People"""      ,83.3,62
"""Celine"""                 ,83.3,68.8
"""Picture City"""           ,86.7,49.2
"""Genevieve Gozum"""        ,76.3,40
"""Random 1"""               ,73.3,40
"""Broadway Gems"""          ,71.3,40
"""Random 2"""               ,67.2,39.9
"""Random 3"""               ,65.6,39.9
"""Random 4"""               ,62.9,39.9
"""Random 5"""               ,59  ,39.9
"""Random 6"""               ,78.8,44.2
"""Freeway"""                ,77.1,44.2
"""B-Club"""                 ,75.6,44.2
"""Leaveland"""              ,72.9,44.2
"""Random 7"""               ,71.8,44.2
"""Jag"""                    ,69.5,44.3
"""Lee"""                    ,67.2,44.2
"""Our Time"""               ,65.3,44.2
"""Rusty Lopez"""            ,62.7,44.3
"""Random 8"""               ,59.1,44.2
"""Folded and Hung"""        ,58  ,56.4
"""Random 9"""               ,65.3,57.5
"""Wrangler"""               ,68.7,57.5
"""Unica Hija"""             ,71.4,57.5
"""Etude House"""            ,73.3,57.5
"""Maldita"""                ,79  ,57.5
"""Skechers"""               ,56.9,59.8
"""Mint"""                   ,58  ,65.3
"""Random 10"""              ,58  ,69.3
"""Bon Chon"""               ,58  ,75.9
"""Digital Hub"""            ,62.7,72.4
"""Beat White"""             ,67.4,72.4
"""Tribal"""                 ,69.4,72.4
"""Random 11"""              ,71.4,72.4
"""Giordano"""               ,74.4,72.4
"""Random 12"""              ,77.6,72.4
"""Slim Food"""              ,80.6,73.7
"""Tony Moly"""              ,62.7,84.5
"""Samsonite"""              ,67.4,84.5
"""Random 13"""              ,70.5,84.5
"""Me and U"""               ,75  ,84.5
"""Suesh"""                  ,77.3,84.5
"""Gonuts Donuts"""          ,81.2,84.5
"""Icings"""                 ,83.7,88
"""Hap Chan"""               ,75.5,88
"""Random 14"""              ,70.4,87.9
"""J.Co Donuts"""            ,66.6,87.9
"""Temper Tendon"""          ,62.9,87.9
"""Army Navy"""              ,59.2,87.9
"""Guess"""                  ,52.3,87.9
"""Robinsons Bank"""         ,17.5,69.3
"""Starbucks Coffee"""       ,15.7,71.8
"""ATM Center"""             ,11.2,65.2
"""Optical chuchu"""         ,14.5,61.2
"""M. Lhuilier"""            ,17.4,57.5
"""Fix"""                    ,23  ,60.4
"""Kashieca"""               ,28.9,56.8
"""Bench"""                  ,34.1,59
"""Krispy Kreme"""           ,23.1,52.6
"""Plains and Prints"""      ,21.6,47.9
"""Metro Department Store""" ,21.1,42.2
"""The Body Shop"""          ,22.1,35.9
"""Penshoppe"""              ,24.5,32.7
"""Payless Shoe Store"""     ,28  ,28.2
"""Lee"""                    ,31.1,24.2
"""BPI"""                    ,32.5,6.9
"""Animal Grooming chuchu""" ,35.9,3.8
"""Dunkin Donuts"""          ,35.9,9
"""Eye of Plain"""           ,35.9,14.2
"""Petit Monde"""            ,37.7,23.9
"""National Bookstore"""     ,38.8,26.2
"""Hip Culture"""            ,44  ,33
"""Bayo"""                   ,46.1,35.5
"""Mossimo"""                ,52  ,45.4
"""Random 15"""              ,46.9,47.7
"""Levi's"""                 ,45.4,49.3
"""Random 16"""              ,43.5,51.9
"""Gift Factory"""           ,42.6,55.4
"""Blue Magic"""             ,40.9,63.2
"""Basic Shoes"""            ,43.6,71.8
"""Timezone"""               ,44.1,76.9
"""Worship Generation"""     ,48.6,75.7
"""Banana Peel"""            ,48.4,72.6
"""Gems n' Stuff"""          ,48.2,69.8
"""R Bags"""                 ,46.7,66.9
"""The Tshirt Project"""     ,45.5,64.3
"""Restroom 1"""             ,20.8,65.1
"""Restroom 2"""             ,39.4,5.5
"""Restroom 3"""             ,50  ,58.2
"""Restroom 4"""             ,45  ,83.5
"""Restroom 5"""             ,90.7,59.5
"""Starbucks Coffee"""       ,14.6,78.1
"""BDO"""                    ,14.7,80.8
"""Mercury Drug"""           ,22.5,96.6
"""Moshi Koshi"""            ,28.6,96.6
"""North Park"""             ,35.9,96.6
"""Café De Lipa"""           ,39.9,96.6
"""The Old Spaghetti House""",44  ,96.6
"""Teriyaki Boy"""           ,99.2,10.5
"""Max's"""                  ,99.3,17.5
"""#Vertex_1"""              ,26.4,52.4
"""#Vertex_2"""              ,34  ,23.6
"""#Vertex_3"""              ,39.7,55.7
"""#Vertex_4"""              ,46.9,41.9
