"Ticket N' Post"                ,11.7,65.1
"The Flight Center "            ,13.5,63.1
"Blims"                         ,22.1,48.3
"Medical City Clinic"           ,17.5,70.1
"Ballet and Arts Center"        ,21.2,65
"Random 1"                      ,29.2,57.4
"Ace Hardware"                  ,34.3,59.1
"Toy Town"                      ,38.6,58.5
"Kevin's Toys & Library"        ,42.5,53.5
"Baby & Kids"                   ,46.5,48.4
"Chef Tony's "                  ,52.7,46.8
"Grassroots"                    ,51.9,37.8
"American Bazaar"               ,46.5,35.8
"SB Furniture"                  ,42.8,31.2
"Cuadro"                        ,39.8,27.5
"Lavish Lashes Studio"          ,37.7,24.9
"Tony & Jackey"                 ,36  ,21.6
"David's Salon"                 ,35.9,15.1
"Dermstrata"                    ,35.9,11.4
"Weigless Center"               ,35.9,9
"ExpressCut"                    ,35.9,4.6
"Manila Derm"                   ,32.6,4.4
"Freshaire Salon"               ,32.6,8.9
"Body Tune"                     ,32.6,12.4
"Lay Bare Waxing Salon"         ,32.6,16.1
"California Nails & Day Spa"    ,32.6,21.5
"Abenson"                       ,29.1,27
"City Mattress"                 ,25.4,31.9
"Audiophile"                    ,22.5,34.3
"Metro Department Store"        ,21.1,42.1
"AllSectech"                    ,55.2,51.7
"Big Joy Kids"                  ,58  ,46.8
"Comic Alley"                   ,60  ,46.8
"Gingersnaps"                   ,61.6,46.8
"Barbie"                        ,63.8,46.8
"Enfant"                        ,65.6,46.8
"Anne Julieth"                  ,68.6,46.8
"Giggles & Wiggles Hair Salon"  ,71.5,46.8
"Kids Depot"                    ,75.6,46.8
"Kabo Oshi"                     ,77.5,46.8
"Osh Kosh B' Gosh"              ,79.2,46.8
"Abubot"                        ,79.1,37.5
"Sarabia Optical World"         ,77.1,37.5
"Japan Home Centre"             ,69.6,37.5
"Clipper"                       ,67.3,37.5
"Blade"                         ,66.1,37.5
"Automatic Centre"              ,6.8 ,37.5
"Gift Market Entrance 1"        ,55.2,25.2
"San Yang"                      ,66.6,24.8
"Best Buy Home Furnishings"     ,69.7,24.8
"Cat Furniture"                 ,71.4,24.8
"City Mattress"                 ,75.2,24.8
"Arq"                           ,80.2,26.2
"Home Market"                   ,81.9,52
"Gift Market Entrance 2"        ,81.9,23.9
"Instyle Furnitures"            ,83.7,23.2
"Lyric Piano"                   ,83.7,26.2
"Showcase Carpet"               ,84  ,34.6
"Syl Paul Joyce"                ,89.8,35
"HMR"                           ,93  ,35
"Photoline"                     ,84.7,49.5
"Dave's Fun House"              ,89.7,49.5
"Ricky Reyes Salon"             ,92.2,49.4
"Dental City"                   ,95  ,51.3
"Pups Ultrasaound & Laboratory" ,96.8,57.3
"Fort Bonifacio Satelite Office",97.1,61
"Restroom 1"                    ,50.2,55
"Restroom 2"                    ,39.9,6.9
"Restroom 3"                    ,90.7,59.5
