"Digital studio"             ,51.9,46.6
"Chowking"                   ,46.1,48.4
"Greenwich"                  ,42.1,53.7
"Chicken Bacolod"            ,39.1,57.5
"Reyes Barbecue"             ,36  ,59
"Pizza Hut"                  ,32.1,59
"Tokyo"                      ,28.6,56.8
"Mann Hann"                  ,23.1,60.2
"DQ"                         ,25.3,53.8
"Binggo"                     ,17.1,70.1
"Cebuana Lhuilier"           ,11.1,65.3
"Bayad Center"               ,13.6,62.3
"Booksale"                   ,15.3,60.1
"Healthfoods"                ,17.1,57.6
"Pancake House"              ,22.2,48.6
"Metro Department Store"     ,20.8,42.4
"Random Store 1"             ,22.2,35.3
"Wendy's "                   ,25.1,31.6
"Daiso"                      ,28.1,27.6
"Kenny Rogers Roasters"      ,30.9,24.1
"Random Store 3"             ,32.3,10.1
"Random Store 4"             ,32.3,5.2
"Random Store 5"             ,32.3,3.5
"VIPinoy"                    ,23.7,6.3
"Random Store 6"             ,36  ,4.8
"LBC "                       ,36  ,8.5
"Random Store 7"             ,36  ,11.3
"KFC"                        ,37.4,23.9
"Watcons"                    ,40.9,28.5
"Yellow Cab"                 ,44  ,32.5
"Sushi Koshi"                ,46.7,36
"Ang Gara"                   ,51.9,37.1
"Fashion Market Entrance 1.1",55.2,31.2
"ATM Machines 1"             ,53.9,24.8
"Fashion Market Entrance 1.2",81.7,31.2
"ATM Machines 2"             ,83.3,27.7
"Studio Jam"                 ,57.7,37.2
"Secosana"                   ,59.7,37.2
"Tomato"                     ,61.5,37.2
"Random Store 9"             ,63.6,37.2
"Get Laid!"                  ,65.6,37.2
"Bristol"                    ,67.2,37.2
"Converse"                   ,69.7,37.2
"Just G"                     ,71.1,37.2
"Random Store 10"            ,73.3,37.2
"Artwork"                    ,74.9,37.2
"Random Store 12"            ,77  ,37.2
"Random Store 13"            ,79.3,37.2
"Random Store 14"            ,79  ,46.6
"Random Store 15"            ,77  ,46.6
"Collezione C2"              ,74.2,46.6
"Jockey"                     ,71.3,46.6
"M Lhuilier Jewelers"        ,69.4,46.6
"Random Store 16"            ,67.6,46.6
"Random Store 17"            ,65.7,46.6
"Random Store 18"            ,63.8,46.6
"Random Store 19"            ,61.9,46.6
"Random Store 20"            ,60  ,46.6
"Random Store 21"            ,58  ,46.6
"Fashion Market Entrance 2.1",55.3,51.1
"Fashion Market Entrance 2.2",81.7,51.1
"Gibi Shoes"                 ,84.5,34.6
"Otto"                       ,89  ,34.6
"Shakey's"                   ,92.6,34.6
"Goldilock's"                ,95.3,48.7
"Swell Stuff"                ,89.1,49.3
"Hush Puppies"               ,86.6,49.3
"Random Store 21"            ,84.2,49.3
"Restroom 1"                 ,41.5,6.4
"Restroom 2"                 ,50.2,54.1
"Restroom 3"                 ,90.5,59.7
